KO_Class,KO_Subclass1,KO_Subclass2,KO_Number,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00402,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03388,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03389,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03390,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K08264,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K08265,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K17100,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00863,,4.6.1.15],,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00600,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00830,,2.6.1.45,2.6.1.51],,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00018,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11529,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K08692,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14067,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00058,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00831,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01079,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01752,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01754,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K17989,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00281,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00282,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00283,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00605,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01948,,,,,,,,
